Rater;Grade;Name
18;7;Porter_Raudenbush_1987
12;8;Porter_Raudenbush_1987
3;10;Porter_Raudenbush_1987
26;8;Porter_Raudenbush_1987
27;9;Porter_Raudenbush_1987
36;9;Porter_Raudenbush_1987
42;8;Porter_Raudenbush_1987
29;7;Porter_Raudenbush_1987
45;8;Porter_Raudenbush_1987
9;7;Porter_Raudenbush_1987
38;6;Porter_Raudenbush_1987
46;6;Porter_Raudenbush_1987
6;7.5;Porter_Raudenbush_1987
40;9;Porter_Raudenbush_1987
1;8;Porter_Raudenbush_1987
5;6;Porter_Raudenbush_1987
8;7;Porter_Raudenbush_1987
13;10;Porter_Raudenbush_1987
19;9;Porter_Raudenbush_1987
20;8;Porter_Raudenbush_1987
21;9;Porter_Raudenbush_1987
22;8;Porter_Raudenbush_1987
24;8;Porter_Raudenbush_1987
25;8;Porter_Raudenbush_1987
28;7;Porter_Raudenbush_1987
43;8;Porter_Raudenbush_1987
44;8;Porter_Raudenbush_1987
34;7.5;Porter_Raudenbush_1987
7;6;Porter_Raudenbush_1987
32;10;Porter_Raudenbush_1987
10;6;Porter_Raudenbush_1987
11;7;Porter_Raudenbush_1987
2;8;Porter_Raudenbush_1987
15;9;Porter_Raudenbush_1987
47;9;Porter_Raudenbush_1987
48;10;Porter_Raudenbush_1987
12;9;Adams_et_all_1985
26;9;Adams_et_all_1985
27;7;Adams_et_all_1985
36;8;Adams_et_all_1985
42;9;Adams_et_all_1985
45;8;Adams_et_all_1985
44;8;Adams_et_all_1985
13;9;Adams_et_all_1985
16;7;Adams_et_all_1985
25;7;Adams_et_all_1985
28;10;Adams_et_all_1985
33;9;Adams_et_all_1985
43;8;Adams_et_all_1985
34;8,5;Adams_et_all_1985
7;8;Adams_et_all_1985
32;10;Adams_et_all_1985
40;6;Adams_et_all_1985
10;10;Adams_et_all_1985
11;7;Adams_et_all_1985
47;7;Adams_et_all_1985
35;9;Adams_et_all_1985
17;6;Adams_et_all_1985
1;10;Cox_McCullagh_1982
28;9;Cox_McCullagh_1982
32;8;Cox_McCullagh_1982
47;9;Cox_McCullagh_1982
7;7;Elashoff_1969
23;8;Elashoff_1969
47;10;Elashoff_1969
32;9;Elashoff_1969
4;10;Elashoff_1969
18;7;Elashoff_1969
1;10;Elashoff_1969
2;7;Elashoff_1969
3;7;Elashoff_1969
8;8;Elashoff_1969
9;9;Elashoff_1969
13;10;Elashoff_1969
21;10;Elashoff_1969
25;8;Elashoff_1969
26;8.5;Elashoff_1969
27;8;Elashoff_1969
28;10;Elashoff_1969
33;10;Elashoff_1969
37;9;Elashoff_1969
38;9;Elashoff_1969
39;7;Elashoff_1969
42;6;Elashoff_1969
43;9;Elashoff_1969
44;10;Elashoff_1969
45;9;Elashoff_1969
11;8;Elashoff_1969
12;8;Elashoff_1969
15;8;Elashoff_1969
19;9;Elashoff_1969
36;8;Elashoff_1969
46;7;Elashoff_1969
29;10;Elashoff_1969
6;8.5;Elashoff_1969
22;7;Elashoff_1969
40;8;Elashoff_1969
35;8,5;Elashoff_1969
48;7;Elashoff_1969
3;10;Jamieson_1999
6;9.0;Jamieson_1999
1;9;Jamieson_1999
19;7;Jamieson_1999
23;6;Jamieson_1999
24;8;Jamieson_1999
25;8;Jamieson_1999
43;9;Jamieson_1999
40;9;Owen_Froman_1998
2;10;Owen_Froman_1998
6;8.0;Owen_Froman_1998
18;9;Owen_Froman_1998
26;7;Wainer_1991
42;7;Wainer_1991
7;4;Wainer_1991
46;4;Wainer_1991
1;9;Wainer_1991
19;6;Wainer_1991
23;7;Wainer_1991
25;7;Wainer_1991
33;7;Wainer_1991
10;8;Wainer_1991
15;4;Wainer_1991
17;3;Wainer_1991
27;8;Wainer_1991
36;8;Wainer_1991
22;7;Wainer_1991
40;8;Wainer_1991
11;5;Wainer_1991
4;9;Wainer_1991
7;7;Cochran_1957
23;10;Cochran_1957
32;7;Cochran_1957
47;9;Cochran_1957
18;6;Cochran_1957
11;6;Cochran_1957
